"filename", "language", "JavaScript", "TypeScript", "WebAssembly Text Format", "JSON", "Markdown", "Rust", "CSS", "HTML", "comment", "blank", "total"
"c:\School\M2\stegano_project_final\API.md", "Markdown", 0, 0, 0, 0, 46, 0, 0, 0, 0, 36, 82
"c:\School\M2\stegano_project_final\README.md", "Markdown", 0, 0, 0, 0, 19, 0, 0, 0, 0, 5, 24
"c:\School\M2\stegano_project_final\package-lock.json", "JSON", 0, 0, 0, 975, 0, 0, 0, 0, 0, 1, 976
"c:\School\M2\stegano_project_final\package.json", "JSON", 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 23
"c:\School\M2\stegano_project_final\passphrases\passphraseGenerator.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 12, 4, 31
"c:\School\M2\stegano_project_final\persist\images-data.json", "JSON", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"c:\School\M2\stegano_project_final\persist\private-direct-messages.json", "JSON", 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\School\M2\stegano_project_final\persist\public-messages.json", "JSON", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 20
"c:\School\M2\stegano_project_final\persist\rooms.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 68
"c:\School\M2\stegano_project_final\persist\users.json", "JSON", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 14
"c:\School\M2\stegano_project_final\public\clients\chat.js", "JavaScript", 439, 0, 0, 0, 0, 0, 0, 0, 55, 103, 597
"c:\School\M2\stegano_project_final\public\clients\client.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 5, 5, 26
"c:\School\M2\stegano_project_final\public\clients\common.js", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 0, 70, 22, 174
"c:\School\M2\stegano_project_final\public\clients\login.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 6, 22, 99
"c:\School\M2\stegano_project_final\public\clients\main.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 3, 8, 35
"c:\School\M2\stegano_project_final\public\clients\register.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 0, 6, 19, 92
"c:\School\M2\stegano_project_final\public\pages\already_in_use.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"c:\School\M2\stegano_project_final\public\pages\chat.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 139, 0, 30, 169
"c:\School\M2\stegano_project_final\public\pages\connection.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 38, 0, 14, 52
"c:\School\M2\stegano_project_final\public\pages\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 35, 0, 10, 45
"c:\School\M2\stegano_project_final\public\pages\register.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 12, 48
"c:\School\M2\stegano_project_final\public\pages\unauthorized.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 23, 0, 5, 28
"c:\School\M2\stegano_project_final\public\pages\unknown.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 13
"c:\School\M2\stegano_project_final\public\styles\style.css", "CSS", 0, 0, 0, 0, 0, 0, 202, 0, 5, 46, 253
"c:\School\M2\stegano_project_final\room.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 0, 22, 93
"c:\School\M2\stegano_project_final\server.js", "JavaScript", 775, 0, 0, 0, 0, 0, 0, 0, 301, 176, 1252
"c:\School\M2\stegano_project_final\src\annalyser.rs", "Rust", 0, 0, 0, 0, 0, 83, 0, 0, 17, 16, 116
"c:\School\M2\stegano_project_final\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 36, 0, 0, 0, 11, 47
"c:\School\M2\stegano_project_final\src\main.rs", "Rust", 0, 0, 0, 0, 0, 34, 0, 0, 1, 5, 40
"c:\School\M2\stegano_project_final\stegano_project.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"c:\School\M2\stegano_project_final\stegano_project.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\School\M2\stegano_project_final\stegano_project_bg.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\School\M2\stegano_project_final\stegano_project_bg.wasm", "WebAssembly Text Format", 0, 0, 1392, 0, 0, 0, 0, 0, 0, 11, 1403
"c:\School\M2\stegano_project_final\stegano_project_bg.wasm.d.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 2, 1, 6
"c:\School\M2\stegano_project_final\user.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 0, 14, 68
"Total", "-", 1623, 3, 1392, 1111, 65, 153, 202, 296, 485, 606, 5936